psnr_mean,psnr_median,psnr_gaussian,psnr_unsharp,psnr_wiener,psnr_chmean,psnr_amsharp,psnr_laplacian,psnr_log,psnr_admed,psnr_midpoint,psnr_gabor
31.064506932020794,30.557221250607416,31.15913715607389,34.259212847795986,28.034723953336318,,28.29828432925748,27.946518368942904,27.728561064627453,27.25994036124377,19.906006987945048,
34.92236147051929,33.49212786775475,35.01480506114817,38.39637307818477,28.045651115055428,32.62686138505985,28.52625392151004,28.001491486022623,28.12060897398424,35.17803259580995,15.011851406820508,
31.51055746195621,30.8162707089361,31.665911477632697,35.07920686254651,27.980748576870855,28.01176972512858,28.037932338618894,27.83357076533175,27.936217674350758,30.57906885249933,11.735641374766605,
32.6138377666961,31.29621134697323,32.661122840170805,35.72783080534302,27.908413197657755,29.869620548022773,28.12103321788603,28.01926902954943,28.044482256794865,32.56332987436059,11.548979679774554,
31.44830215415857,30.836932838312677,31.536377499153673,35.21776392028049,28.08306740695142,26.925087521721444,28.144714548933205,27.901663457502032,28.029334431480017,29.034302607302234,10.702832588665103,
31.759571028425732,30.91201831424332,31.91815434767593,35.37043862332424,28.269641046794494,,27.981082761206835,27.994058135102833,28.453031347623956,31.32569929421215,7.681646779671953,
34.94829137079138,33.49106673513405,35.00178079818201,38.07530676461329,27.92409292722171,,28.67692091258064,27.68956697727834,27.739255210655717,35.736088861624594,18.756706270779034,
33.15812342795989,32.12084557071022,33.32073789580955,36.85118583139194,27.76600216524273,30.22265626166467,28.140485556327913,27.864153781233284,27.740020692489075,33.291526512386156,9.228871725382543,
32.86273632392902,31.92218168052555,32.95217473854404,36.50186306918032,28.69474642544755,,28.317448832890477,28.056780433187246,28.63636672951026,31.883878802313035,10.058292601844883,
31.947298251023494,31.064507800148263,32.020693677477624,34.74195808163421,28.220803767697813,,28.286938470934025,28.08477406247096,28.475665151333757,31.09703170784794,8.427096099836884,
32.75991276049894,31.930670913549633,32.84365740278958,36.243321465333445,28.073514226247134,,28.3903971966524,27.88989650066322,28.124268531291552,31.552392555802776,8.542986500929075,
30.138709999478337,29.93512663180148,30.260517047021878,33.673444489781666,27.795976430653155,23.771636255980155,28.059208749037925,27.91475980259335,27.89273236867313,26.41830986952105,7.538791481993589,
31.491253528084194,30.894967731166613,31.586340697427904,35.071153628061275,28.607980850860354,,28.20589012291525,28.089076236054986,28.556069603464714,29.926504418778542,8.818359842519232,
33.20905115955795,31.936203105865296,33.307420618830335,36.775207290403536,28.351768691917986,,28.192369800342174,27.9349518367914,28.205834611032774,33.97961757172047,10.056973520020986,
40.69035964122051,36.36685700015064,39.98074245089073,39.60498916943977,27.74015111239221,,30.46419502919943,28.15791216094588,28.263371843003476,41.847117015265596,7.7840448033434875,
31.96088674166895,31.163388724910295,32.07452283457165,35.7266217050189,28.225085551856495,,28.094240358249778,28.033622833118535,28.403783121026457,31.454661143519388,8.32686593410764,
33.52129491598834,32.57569134141707,33.655310508314415,37.41735269559432,28.52328425764408,30.89767721455715,28.48430104613243,28.048996996765577,28.401387322915905,33.454762291293356,13.938764524058245,
