mse_gaussian_otsu,mse_gaussian_kmeans
12302.516906738281,4512.366424560547
12739.314254760742,12713.6257425944
9067.573211669922,2262.1249338785806
12892.653238932291,1371.7867838541667
10267.121810913086,9521.786188761393
13336.028177897135,4288.6397705078125
12714.843546549479,835.0317179361979
16968.760991414387,3910.3971150716147
10899.664525349936,6559.619532267253
12942.701782226562,12571.681126912436
10658.540802001953,10987.377466837564
9919.211624145508,4920.823694864909
11024.311772664389,2408.403315226237
11672.634943644205,3048.8648986816406
13447.569396972656,13441.869491577148
12969.420466105143,13199.787134806314
10695.920379638672,1143.8326568603516
10495.616683959961,10540.740849812826
10140.657190958658,1227.514887491862
10941.50961303711,3083.999425252279
10445.008412679037,2286.999064127604
10589.924423217773,10097.848576863607
14506.611892700195,10924.415959676107
19378.983123779297,19202.367106119793
10455.474746704102,3638.5132751464844
19497.4345703125,15418.932408650717
14030.415501912436,1249.9750264485676
12685.252655029297,1372.2129007975261
9534.000274658203,10235.67879740397
10516.303599039713,11280.503565470377
12658.07903544108,13790.545094807943
10919.66758219401,10330.129938761393
13436.606562296549,1184.4911397298176
13864.141789754232,13548.71061706543
9322.33979288737,9027.096562703451
12930.224075317383,859.4282735188802
13195.760197957357,1879.8529408772786
6017.915100097656,5287.639419555664
13404.225194295248,2673.606399536133
7883.001281738281,7899.714889526367
12353.01032002767,5516.523859659831
12789.950764973959,1481.5613606770833
13039.022440592447,2844.9243977864585
13436.00048828125,13844.133794148764
11927.903747558594,12179.892862955729
11246.14149983724,13254.260777791342
10700.709798177084,4136.422932942708
11350.29758199056,1332.3144836425781
13025.99750773112,2769.993220011393
13967.749857584635,1568.981165568034
13188.994277954102,475.0958607991536
10136.007680257162,9676.71490987142
14266.395044962564,2321.9911142985025
11055.43270365397,1034.2559560139973
11637.32558186849,6762.579818725586
26047.14741007487,11010.649022420248
10451.678899129232,7107.877695719401
7740.860015869141,5197.848419189453
17862.276611328125,13679.997502644857
12020.651173909506,2913.8751525878906
11139.07746887207,10438.59673055013
12774.907791137695,12349.866333007812
15959.786972045898,15554.096135457357
19027.245814005535,7016.192657470703
13092.042170206705,1278.5044403076172
14134.37962849935,4889.210698445638
12248.343119303385,1665.146001180013
11884.633392333984,4325.754943847656
13237.246342976889,13789.259908040365
10669.832326253256,3037.4437662760415
15698.363805135092,16709.68785603841
11226.571497599283,12716.765680948893
12650.149124145508,3312.572352091471
12369.044728597006,12178.656102498373
13020.764450073242,12948.454986572266
13385.911727905273,3496.000773111979
14433.403676350912,13955.21484375
8540.65072631836,8595.509877522787
12570.713261922201,5732.978154500325
17907.873463948566,17511.67119852702
14028.330693562826,14000.146036783854
14195.432957967123,884.474863688151
8523.127614339193,4336.46789042155
15073.090443929037,15256.593053181967
11811.000691731771,11904.18684387207
9716.978713989258,3265.84401957194
9834.19059753418,8639.612177530924
10853.101216634115,8335.03506978353
13768.81989034017,3030.68728129069
11170.090138753256,10817.024378458658
9582.41660563151,9012.868748982748
8567.663838704428,1135.4246266682942
13082.28182474772,1524.6616516113281
9127.53783162435,11128.458841959635
12746.888036092123,13025.809850056967
11445.931620279947,2448.343465169271
11997.584747314453,1439.8946075439453
10205.339736938477,1334.1621958414714
13939.908299763998,1629.5332692464192
7447.765151977539,8010.532160441081
12646.26490275065,13094.965876261393
14278.211898803711,14321.244232177734
8789.502726236979,9138.963038126627
13633.027150472006,11558.307774861654
11591.031621297201,11531.919423421225
12781.666193644205,13746.199040730795
10182.488138834635,8963.744018554688
8116.149175008138,3678.161092122396
